X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], Gas.Volume Fraction.Trnavg, kla [ s^-1 ], Liquid.Velocity.Trnavg Axial [ m s^-1 ], Liquid.Velocity.Trnavg Radial [ m s^-1 ], Ostar [ kg m^-3 ], Radius [ m ]
-0.175441802,0.23678042,0.175441787,0.00600348599,0.134997278,0.0888660923,0.198337287,0.113963917,0.0200569574,0.252253771
-0.668823242,0.237183467,0.668823242,0.00679722661,0.12678127,0.0801056027,-0.208032981,-0.0407687426,0.0216470547,0.946811557
-0.366430074,0.243312776,0.366430104,0.00706699584,0.110736899,0.0823452845,0.162754193,-0.203280866,0.020868754,0.520457447
0.120647088,0.243800744,-0.120647088,0.00192799594,0.168509051,0.106561795,0.161203176,0.0756220222,0.0199080762,0.17200467
0.12234772,0.243922859,-0.12234772,0.0002085249,0.167997032,0.106406227,0.163096175,0.076112166,0.0199093856,0.173758954
0.124909066,0.244391784,-0.124909058,0.00867588725,0.167478338,0.10646189,0.16477786,0.0739202425,0.0199136958,0.176921397
0.123423606,0.246135473,-0.123423599,0.000727282604,0.168853939,0.107314639,0.166017026,0.0757905617,0.0199089516,0.174975723
-0.165774569,0.247305945,0.165774554,0.00138982281,0.144864231,0.0950971916,0.20227389,0.121835276,0.0200217254,0.240608186
-0.386686087,0.248034477,0.386686087,0.00468244776,0.114084333,0.0845192447,0.139145181,-0.21988067,0.0209457092,0.548084497
0.121250115,0.248623163,-0.121250115,0.00491654687,0.173358679,0.109829932,0.161980942,0.0772827566,0.0199053697,0.171862945
0.238175288,0.251682371,-0.238175288,0.0138570499,0.121664852,0.0881377757,0.257538497,0.00904930383,0.0201486591,0.348609626
0.920178056,0.253733337,-0.920178056,0.00370893022,0.0392006934,0.0216978453,0.269806504,0.476804227,0.0220224056,1.30284238
0.305435896,0.256361902,-0.305435896,0.00736938417,0.118369639,0.0884633511,0.207452133,-0.128845647,0.0204049218,0.437048435
0.344691098,0.2576828,-0.344691098,0.00713278027,0.117416665,0.0885413811,0.172951803,-0.190636531,0.0205870476,0.491165727
-0.370360613,0.261073112,0.370360613,0.00243473472,0.117031679,0.0881383494,0.172817513,-0.217945665,0.020868443,0.525434256
